Year Range, Primary Average , Secondary Average , Tertiary Average , Total 
1950-54, 50.60 , 11.30 , 37.66 , 99.56 
1955-59, 46.02 , 12.84 , 41.24 , 100.11 
1960-64, 42.72 , 14.99 , 42.38 , 100.09 
1965-69, 43.87 , 14.15 , 41.66 , 99.68 
1970-74, 42.27 , 15.48 , 41.86 , 99.61 
1975-79, 37.37 , 17.52 , 45.02 , 99.90 
1980-84, 36.15 , 17.84 , 45.60 , 99.60 
1985-89, 32.48 , 18.02 , 49.17 , 99.67 
1990-94, 31.31 , 18.11 , 50.31 , 99.73 
1995-99, 28.15 , 18.61 , 52.91 , 99.67 
2000-04, 23.96 , 17.83 , 57.98 , 99.76 
2005-09, 21.58 , 20.58 , 57.84 , 100.00 
2010-14, 21.46 , 19.51 , 59.03 , 100.00 
2015-19, 20.02 , 19.24 , 60.74 , 100.00 