Index Number,Quarter,Quarterly Close
0,1980 Q1,126.75
1,1980 Q2,125.1
2,1980 Q3,134.5
3,1980 Q4,139.59
4,1981 Q1,159.7
5,1981 Q2,191.12
6,1981 Q3,202.2
7,1981 Q4,216.75
8,1982 Q1,221.86
9,1982 Q2,222.43
10,1982 Q3,219.35
11,1982 Q4,228.58
12,1983 Q1,217.29
13,1983 Q2,229.41
14,1983 Q3,236.74
15,1983 Q4,243.25
16,1984 Q1,248.08
17,1984 Q2,241.75
18,1984 Q3,256.07
19,1984 Q4,266.32
20,1985 Q1,313.81
21,1985 Q2,419.59
22,1985 Q3,471.53
23,1985 Q4,499.51
24,1986 Q1,608.64
25,1986 Q2,609.81
26,1986 Q3,577.44
27,1986 Q4,532.41
28,1987 Q1,537.83
29,1987 Q2,458.31
30,1987 Q3,473.48
31,1987 Q4,440.81
32,1988 Q1,416.78
33,1988 Q2,542.34
34,1988 Q3,619.29
35,1988 Q4,675.58
36,1989 Q1,682
37,1989 Q2,753.17
38,1989 Q3,732.46
39,1989 Q4,737.39
40,1990 Q1,711.98
41,1990 Q2,815.1
42,1990 Q3,1248.67
43,1990 Q4,1175.48
44,1991 Q1,1118.74
45,1991 Q2,1270.44
46,1991 Q3,1768.18
47,1991 Q4,1900.65
48,1992 Q1,3099.4
49,1992 Q2,3301.98
50,1992 Q3,3008.73
51,1992 Q4,2652.38
52,1993 Q1,2572.17
53,1993 Q2,2180.42
54,1993 Q3,2551.75
55,1993 Q4,3069.68
56,1994 Q1,4014.67
57,1994 Q2,3884.72
58,1994 Q3,4350.22
59,1994 Q4,4104.56
60,1995 Q1,3430.55
61,1995 Q2,3242.81
62,1995 Q3,3408.42
63,1995 Q4,3171
64,1996 Q1,3223.02
65,1996 Q2,3787.8
66,1996 Q3,3427.63
67,1996 Q4,3044.3
68,1997 Q1,3462.6
69,1997 Q2,3944.84
70,1997 Q3,4023.26
71,1997 Q4,3672.82
72,1998 Q1,3569.1
73,1998 Q2,3634.62
74,1998 Q3,3080.36
75,1998 Q4,2890.61
76,1999 Q1,3480.32
77,1999 Q2,3793.28
78,1999 Q3,4732.7
79,1999 Q4,4685.09
80,2000 Q1,5214.68
81,2000 Q2,4611.39
82,2000 Q3,4279.6
83,2000 Q4,3891.52
84,2001 Q1,4045.99
85,2001 Q2,3535.21
86,2001 Q3,3120.12
87,2001 Q4,3176.82
88,2002 Q1,3445.99
89,2002 Q2,3235.03
90,2002 Q3,3052.09
91,2002 Q4,3180.13
92,2003 Q1,3192.54
93,2003 Q2,3238.3
94,2003 Q3,4154.21
95,2003 Q4,5248.02
96,2004 Q1,5651.09
97,2004 Q2,5053.75
98,2004 Q3,5312
99,2004 Q4,6157.74
100,2005 Q1,6586.89
101,2005 Q2,6674.23
102,2005 Q3,8013.5
103,2005 Q4,8670.73
104,2006 Q1,10508.35
105,2006 Q2,10993.25
106,2006 Q3,11611.24
107,2006 Q4,13476.58
108,2007 Q1,13357.29
109,2007 Q2,14351.6
110,2007 Q3,16029.99
111,2007 Q4,19825.8
112,2008 Q1,16931.16
113,2008 Q2,15632.44
114,2008 Q3,13905.69
115,2008 Q4,9504.56
116,2009 Q1,9335.26
117,2009 Q2,13420.6
118,2009 Q3,16140.25
119,2009 Q4,16749.68
120,2010 Q1,16763.34
121,2010 Q2,17398.29
122,2010 Q3,18609.25
123,2010 Q4,20016.83
124,2011 Q1,18519.86
125,2011 Q2,18826.59
126,2011 Q3,17092.03
127,2011 Q4,16401.13
128,2012 Q1,17448.62
129,2012 Q2,16980.17
130,2012 Q3,17796.77
131,2012 Q4,19086.1
132,2013 Q1,19191.17
133,2013 Q2,19552.83
134,2013 Q3,19111.82
135,2013 Q4,21041.63
136,2014 Q1,21325.95
137,2014 Q2,23984.44
138,2014 Q3,26385.55
139,2014 Q4,28015.31
140,2015 Q1,28827.16
141,2015 Q2,27537.63
142,2015 Q3,26836.13
143,2015 Q4,26305.52
144,2016 Q1,24383.57
145,2016 Q2,26418.03
146,2016 Q3,28122.27
147,2016 Q4,27063.06
148,2017 Q1,28661.97
149,2017 Q2,30657.26
150,2017 Q3,31839
151,2017 Q4,33470.56
152,2018 Q1,34350.66
153,2018 Q2,35301.91
154,2018 Q3,37479.81
155,2018 Q4,35559.18
156,2019 Q1,36911.79
157,2019 Q2,39379.14
158,2019 Q3,37822.4
159,2019 Q4,40722.91
160,2020 Q1,35819.84
161,2020 Q2,33670.45
162,2020 Q3,38098.75